city,location_id,location_name,country,latitude,longitude,sensor_id,parameter,unit,date,value
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,46.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,43.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,63.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,47.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,148.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,127.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,99.7
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,60.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,61.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,66.2
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,46.7
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,56.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,88.3
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,57.1
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,39.4
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,44.8
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,114.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,100.0
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,75.7
Paris,2681,Place de l'Opéra,FR,48.8702740002815,2.332500000221789,5620,no2,µg/m³,,75.2
